Reference Number,Agency,Agency Description,Type of Contract,Duration of Contract,Contract Description,Project Description,Solicitation Month,Solicitation Year,Dollar Range,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14
V32000,NYCT,New York City Transit,Purchase,18,92 Non-Revenue Vehicles 2018-2019,"This project is for the purchase of additional non-revenue vehicle replacements in order to meet Diesel Emissions Retrofit Act (DERA) compliance requirements. These vehicles will be used by NYCT for essential services such as emergency response, material transportation, track repair and elevated structure repair. DERA rules require all non-revenue vehicles meeting certain specifications to comply with new emissions standards.",JUL,2018,$10M - $50M,,,,,,,,,,,,,,
VN-11,B&T,Bridges and Tunnels,Constr Mgmt,42,Construction Management: Brooklyn/Gowanus Approach Reconstruction,"Under this Construction Management contract, the consultant will provide construction administration, inspection, and associated services for the widening of the Gowanus Expressway from 92nd street to Fort Hamilton Parkway.",NOV,2018,$1M - $5M,,,,,,,,,,,,,,
S47009/S32398/S32399,NYCT,New York City Transit,Construction,59,Communication Based Train Control (CBTC): Two Interlockings and Signal Overlay / Culver Line**,To implement Communication Based Train Control (CBTC) Signal System Rehabilitation from Church Ave. Station to West 8th Street Station on the Culver Line in Brooklyn. Work will include:,JUN,2018,OVER $50M,Modification of the Auxiliary Wayside System (AWS) to support CBTC operations.,Installation of Zone Controllers at each interlocking.,"Modernization of the Avenue X, the Kings Highway and the Ditmas Avenue interlockings.",,,,,,,,,,,
SF02-8129,NYCT,New York City Transit,Purchase,,Purchase 45 Standard Electric Buses**,,MAR,2019,$10M - $50M,,,,,,,,,,,,,,
C34846,NYCT,New York City Transit,Construction,10,DCE Shop Components - Phase 3 / Jerome,,APR,2019,$1M - $5M,,,,,,,,,,,,,,
A36949,NYCT,New York City Transit,Construction,10,Aqueduct-North Conduit Av / RKY,This project will repair or replace station components at Aqueduct-North Conduit Avenue Station on the Rockaway Line in Queens. Work will include:,OCT,2018,$1M - $5M,Platform canopy replacement work.,Light fixture replacement beyond the canopy.,Platform stair wall and ceiling concrete repair work.,Replacement of expansion joints.,,,,,,,,,,
P36339,NYCT,New York City Transit,Construction,25,Repl Control & Battery Cable: 4 Substn Cntrl Zones (2/3/5/8),This project will replace control and battery cables between the equipment control rooms and various remote locations in the Borough of Manhattan. Work will include:,JUL,2018,$10M - $50M,Furnishing and installing all battery and control cables .,"Furnishing and installing new battery disconnect switches, battery terminal boxes and new conduit.",Concrete work.,,,,,,,,,,,
R34253,NYCT,New York City Transit,Purchase,30,Purchase of 12 3-Ton Crane Cars,,DEC,2018,$10M - $50M,,,,,,,,,,,,,,
BW-63/TN-63,B&T,Bridges and Tunnels,Constr,18,Construction: Open Road Tolling Initiative - Paving and Landscaping,"Under this Construction contract, the contractor will install a permanent roadway section constructed at its final alignment and profile, median barriers, new drainage, and new roadway lighting. In addition, the contractor will also perform necessary regrading incidental to the roadway, drainage, and landscaping work.",JUL,2018,$10M - $50M,,,,,,,,,,,,,,
P36483,NYCT,New York City Transit,Construction,24,Reconstruction of CBH # 392 - Flushing River Bridge,,DEC,2018,$1M - $5M,,,,,,,,,,,,,,
A37119 / A38100,NYCT,New York City Transit,Construction,18,Intermodal and ADA: Canarsie-Rockaway Pkwy / Canarsie,"These projects will  make the intermodal bus facility, control area and platforms of Rockaway Park Station on the Canarsie Line fully accessible to persons dependent on wheelchairs. Work will include:",JUN,2018,$10M - $50M,"Provision of ADA ramps, handrails, platform edge warning strips and rubbing boards.",The creation of clearly defined entrances and exits for buses and pedestrians.,lmproving customer circulation within the bus terminal and allow for ease of transfers.,Improved site drainage.,B82 bus improvements.,,,,,,,,,
E34026,NYCT,New York City Transit,Construction,30,Replace 11 Hydraulic Elevators / Various**,,DEC,2018,$10M - $50M,,,,,,,,,,,,,,
A46029,NYCT,New York City Transit,Construction,20,Station Renewal: 69 Street / Flushing,"The project consists of the renewal of 69th Street Station, Flushing Line in the borough of Queens. Work will include:",OCT,2018,$10M - $50M,"Repair or replacement of street stairs, mezzanine to platform stairs, mezzanine floors, doors and windows, interior and exterior walls, and canopies as required.",Painting.,,,,,,,,,,,,
A37208,NYCT,New York City Transit,Construction,11,Subway Stairs: 34 St-Herald Sq / Bdwy (S8) [SBMP],This Small Business Mentoring Project will eliminate deficient street stairs at 34th St-Herald Square subway station. Work will include:,JUL,2018,$1M - $5M,"Concrete work, such as reconstructing guardrail curbs, sidewalk repair and provision of concrete topping at stair landings.",Drainage work.,Replacement of treads and risers.,Provision of ADA compliant handrails.,Painting.,,,,,,,,,
A37302,NYCT,New York City Transit,Construction,12,"Station Lighting: 3 Locations / 8AV, WPR (2019) [SBMP]",,JAN,2019,$1M - $5M,,,,,,,,,,,,,,
E31713,NYCT,New York City Transit,Construction,36,Rehab Fan Plant Damper System - Various Locations,,APR,2019,$10M - $50M,,,,,,,,,,,,,,
SI10-1831,NYCT,New York City Transit,Construction,27,SIR Station Component Program [SBDP],"This Small Business Federal Program project  will repair select, identified structural and architectural defects within the station limits along Staten lsland Railway. Work may include:",OCT,2018,$1M - $5M,"Concrete spall repair, corbel installation, platform edge repair/replacement, crack repair, expansion joint repair, windscreen repair/replacement, portico repair/rehab, and roof repair.","Electrical and communications work to reroute, maintain or protect conduit and devices where structural and architectural repairs are performed.",,,,,,,,,,,,
M10991,MNR,Metro North Railroad,Constr,14,Construction of Node House Roofs,"Metro North Railroad has 36 locations spread out on all three lines (Harlem, Hudson and New Haven) that have communication bungalows that require an assessment for the replacement of their roofs. The work includes survey and assessment of the current communication houses roof condition (includes waterproofing membrane). Based on the determination of the findings the existing roofs must be replaced, as needed, with new roofing systems. The work must be performed in a matter that is non disruptive to railroad operations and free of damage to equipment within the space.",AUG,2018,$1M - $5M,"Perform Survey of Node houses on the Hudson Line, New Haven Line (NY locations), Harlem Line and submit report.","Replace, as needed, the roofing system for all Node Houses.",,,,,,,,,,,,
SF16-1655,NYCT,New York City Transit,Construction,8,Paint Booth: Yukon Depot [SBDP],"This project shall provide all labor, tools, equipment necessary for installing, testing and putting into operation a new paint booth. Work will include:",AUG,2018,$1M - $5M,Remove existing and provide new paint booth cabin with personnel doors and vehicle entry roll-up door.,Provide new roof openings and roof curbs for new mechanical equipment.,Provide new steel support structure and concrete pads for new equipment.,"Provision and installation of new mechanical equipment, such as pneumatic man lifts, breathing air systems and HVAC.",Electrical work as required.,,,,,,,,,
VN-84,B&T,Bridges and Tunnels,Constr,48,Construction: Reconstruct the Verrazano-Narrows Bridge Approach Ramps,"Under this construction contract, the Contractor will reconstruct a portion of the Verrazano-Narrows Bridge upper level approach ramps.",DEC,2018,OVER $50M,,,,,,,,,,,,,,
M10398,MNR,Metro North Railroad,Constr,24,"Rehabilitation of Harlem Line Bridges HA 61.06 and HA 61.36, Patterson, NY**","This contract provides for the replacement of two existing railroad bridges crossing over Croton River at Metro-North Railroad's Harlem Line Milepost's 61.06 and 61.36 in Patterson, Dutchess County, New York.",SEP,2018,$5M - $10M,"Construction of temporary access road, bridge structures and retaining walls.",Installation of micro pile foundations and concrete abutments.,Construction of two (2) new 80 ft span bridges parallel to the existing two for lateral slides during weekend outages.,Installation of modular concrete retaining walls and restoration of wetlands.,,,,,,,,,,
A36993,NYCT,New York City Transit,Construction,12,Platform Components: 3 Locations / Nostrand,"The purpose of this project is to replace platform components at President St., Sterling St., and Winthrop St. subway stations on the Nostrand Ave. subway line. Work will include:",JUN,2018,$10M - $50M,Repairing deteriorated concrete at platform edges.,The installation of rubbing boards.,"Repairing walls, columns and column bases.",,,,,,,,,,,
C34928,NYCT,New York City Transit,Construction,24,Rehab Emergency Exits - Various Locs (3rd Party),,FEB,2019,$1M - $5M,,,,,,,,,,,,,,
R34194,NYCT,New York City Transit,Purchase,36,Heavy Shop Equipment Purchase & Replacement 2015-19,"Purchase and replacement of critical shop equipment. This project is to purchase heavy shop equipment and machinery for various locations. This project will purchase and replace critical shop equipment, machinery, and vehicles through four contracts, advertised separately. Components will include:",JUN,2018,$5M - $10M,Diesel load testers.,Immersion wash tanks.,Bridge cranes.,Special equipment utility vehicles.,,,,,,,,,,
A37687,NYCT,New York City Transit,Construction,12,Sandy Repairs: Old South Ferry Loop Entrance Closure [SBFP]**,This Small Business Federal Program project will close the entrance stairwell at the South Ferry Old Loop Station. Work will include:,JUN,2018,$500K - $1M,The installation of horizontal closure panels and supports.,Removal of fare array and cameras.,Provision of a new roll up door for access.,,,,,,,,,,,
C-40247,MTA BUS,MTA Bus,Constr,15,CNG Upgrade-Spring Creek Depot**,"This project is for depot component rehab and will consist of upgrading the existing CNG system at the Spring Creek Depot. The objective of this project is to replace over-aged CNG equipment for maintenance and facilities operations. Under this project, new equipment will be designed and installed with the latest regulatory/code requirements, operation, maintenance and energy efficiencies. This project will be FTA funded. Procurement will be done on behalf of MTA Bus by MTA New York City Transit.",OCT,2018,$5M - $10M,,,,,,,,,,,,,,
E31699,NYCT,New York City Transit,Construction,45,Rehabilitate Forsyth St. Fan Plant**,This project will rehabilitate the ventilation facility at Forsythe & Delancey in the Borough of Manhattan. Work will include:,JUL,2018,OVER $50M,Rehabilitation or closing of existing ventilation bays and construction of additional ventilation bays as determined by air velocity requirements.,"Mechanical work required for ventilation system, including provision of tube axial fans, dampers and control room work.","Electrical work required in EDR and controls rooms, such as the installation of boxes, cabinets and boards.","Instrumentation, control and fiber optic work involved to connect the fan plant to the Rail Control Center (RCC), such as cabinet and panel installation, running of fiber between fan plant and communications rooms.",Provision of hatches for equipment and personnel access.,,,,,,,,,
E34029,NYCT,New York City Transit,Construction,38,Replace 6 Traction Elevators / 8th Avenue,This project will replace 6 traction elevators at 181st Street and 190th Street Stations on 8th Ave line in Manhattan. Work will include:,SEP,2018,$10M - $50M,"Replacement of existing elevator cars with operating panels, electrical panels, communications system, smoke and fire detection system, governor, counterweights, roller guides, transducers, etc.",Provision of Ethernet connection between Status Monitors and E&E Control Center.,,,,,,,,,,,,
