Project Number,Capital Plan,Agency Name,Plan Revision,Budget Submission Date,Project Description,Change Narrative,Plan Year - Year 1 Allocation,Plan Year - Year 2 Allocation,Plan Year - Year 3 Allocation,Plan Year - Year 4 Allocation,Plan Year - Year 5 Allocation,Out Years Allocation,Total Allocation
D501CB08,Capital Plan 2005 - 2009,Bridges and Tunnels,200504,2005 Apr.,Deck and Structural Rehabilitation - Cross Bay Bridge                                                                                                                                                                                                          ,,,48845,,,,,48845
D501CB08,Capital Plan 2005 - 2009,Bridges and Tunnels,200512,2005 Dec.,Deck and Structural Rehabilitation - Cross Bay Bridge                                                                                                                                                                                                          ,Revised estimate to include CCTV and fiber optic work,,49845,,,,,49845
D501CB08,Capital Plan 2005 - 2009,Bridges and Tunnels,200612,2006 Dec.,Deck and Structural Rehabilitation - Cross Bay Bridge                                                                                                                                                                                                          ,Budget was revised based on costs of construction and support requirements at time of award,,5023,62894,,,,67917
D501CB08,Capital Plan 2005 - 2009,Bridges and Tunnels,200807,2008 Jul.,Deck and Structural Rehabilitation - Cross Bay Bridge                                                                                                                                                                                                          ,Reflects addition of Variable Speed Limit Signs,,5625,63717,,,,69342
D501CB08,Capital Plan 2005 - 2009,Bridges and Tunnels,200907,2009 Jul.,Deck and Structural Rehabilitation - Cross Bay Bridge                                                                                                                                                                                                          ,,,5625,63717,,,,69342
D501CB08,Capital Plan 2005 - 2009,Bridges and Tunnels,999999,Current,Deck and structural rehabilitation - Cross Bay Bridge.                                                                                                                                                                                                         ,Budget revised to reflect estimate at completion.,,4697,58266,,,,62963
D501TN85,Capital Plan 2005 - 2009,Bridges and Tunnels,200504,2005 Apr.,Suspended Span Cable Rewrap.                                                                                                                                                                                                                                   ,,1491,7189,,,,,8680
D501TN85,Capital Plan 2005 - 2009,Bridges and Tunnels,200512,2005 Dec.,Suspended Span Cable Rewrap.                                                                                                                                                                                                                                   ,Scope change to add catwalk work formerly part of another project (TN-47).,904,15349,,,,,16253
D501TN85,Capital Plan 2005 - 2009,Bridges and Tunnels,200612,2006 Dec.,Suspended Span Cable Rewrap.                                                                                                                                                                                                                                   ,Budget reflects favorable construction bid (Phase B).,904,14650,,,,,15554
D501TN85,Capital Plan 2005 - 2009,Bridges and Tunnels,200807,2008 Jul.,Suspended Span Cable Rewrap                                                                                                                                                                                                                                    ,Reflects estimate to complete (Phase B).,975,14650,,,,,15625
