Station Name,Station Complex,Lines,Historical,Borough,County,Latitude,Longitude,WiFi Available,AT&T,Sprint,T-Mobile,Verizon,Location,Counties,New York Zip Codes,NYS Municipal Boundaries
96 St,96 St (Q),Q,No,Manhattan,New York County,40.784267,-73.947114,No,No,No,No,No,"{'latitude': '40.784267', 'longitude': '-73.947114'}",2095,583,749
174th St,"174-175 Sts (B,D)",BD,No,Bronx,Bronx County,40.8459,-73.910136,No,Yes,Yes,Yes,Yes,"{'latitude': '40.8459', 'longitude': '-73.910136'}",2032,649,307
207th St,Inwood-207 St (A),A,No,Manhattan,New York County,40.868072,-73.919899,No,Yes,Yes,Yes,Yes,"{'latitude': '40.868072', 'longitude': '-73.919899'}",2095,793,749
72nd St,"72 St (1,2,3)",123,Yes,Manhattan,New York County,40.778453,-73.98197,No,Yes,Yes,Yes,Yes,"{'latitude': '40.778453', 'longitude': '-73.98197'}",2095,750,749
Cypress Avenue,Cypress Av (6),6,No,Bronx,Bronx County,40.805368,-73.914042,No,Yes,Yes,Yes,Yes,"{'latitude': '40.805368', 'longitude': '-73.914042'}",2032,650,307
Times Square,"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42 St (A,C,E)",123,Yes,Manhattan,New York County,40.75529,-73.987495,No,Yes,Yes,Yes,Yes,"{'latitude': '40.75529', 'longitude': '-73.987495'}",2095,741,749
Lexington Ave,Lexington Av-53 St (E)/51 St (6),E,No,Manhattan,New York County,40.757552,-73.969055,No,No,Yes,No,No,"{'latitude': '40.757552', 'longitude': '-73.969055'}",2095,749,749
46th St,"46 St (M,R)",MR,No,Queens,Queens County,40.756312,-73.913333,No,Yes,Yes,Yes,Yes,"{'latitude': '40.756312', 'longitude': '-73.913333'}",2137,875,196
High St,"High St (A,C)",AC,No,Brooklyn,Kings County,40.699337,-73.990531,No,No,No,No,No,"{'latitude': '40.699337', 'longitude': '-73.990531'}",2095,880,894
Grand St.,"Grand St (B,D)",BD,No,Manhattan,New York County,40.718267,-73.993753,No,No,Yes,No,No,"{'latitude': '40.718267', 'longitude': '-73.993753'}",2095,718,749
86th St,"86 St (4,5,6)",456,Yes,Manhattan,New York County,40.779492,-73.955589,No,Yes,Yes,Yes,Yes,"{'latitude': '40.779492', 'longitude': '-73.955589'}",2095,755,749
145th St,145 St (1),1,No,Manhattan,New York County,40.826551,-73.95036,No,Yes,Yes,Yes,Yes,"{'latitude': '40.826551', 'longitude': '-73.95036'}",2095,758,749
Bedford Ave,Bedford Av (L),L,No,Brooklyn,Kings County,40.717304,-73.956872,No,No,Yes,No,No,"{'latitude': '40.717304', 'longitude': '-73.956872'}",2090,889,894
Steinway St,"Steinway St (M,R)",MR,No,Queens,Queens County,40.756879,-73.92074,No,Yes,Yes,Yes,Yes,"{'latitude': '40.756879', 'longitude': '-73.92074'}",2137,875,196
Bedford/Nostrand,Bedford-Nostrand Avs (G),G,No,Brooklyn,Kings County,40.689627,-73.953522,No,No,No,No,No,"{'latitude': '40.689627', 'longitude': '-73.953522'}",2090,883,894
145th St,145 St (3),23,Yes,Manhattan,New York County,40.820421,-73.936245,No,Yes,Yes,Yes,Yes,"{'latitude': '40.820421', 'longitude': '-73.936245'}",2095,798,749
Fulton St,Fulton St (G),G,No,Brooklyn,Kings County,40.687119,-73.975375,No,No,No,No,No,"{'latitude': '40.687119', 'longitude': '-73.975375'}",2090,895,894
116th St,116 St (6),6,No,Manhattan,New York County,40.798629,-73.941617,No,Yes,Yes,Yes,Yes,"{'latitude': '40.798629', 'longitude': '-73.941617'}",2095,756,749
Fulton St,"Fulton St (J,M,Z,2,3,4,5)/Bway-Nassau St (A,C)",23,No,Manhattan,New York County,40.709416,-74.006571,No,Yes,Yes,Yes,Yes,"{'latitude': '40.709416', 'longitude': '-74.006571'}",2095,797,749
Dekalb Ave,"DeKalb Av (B,M,Q,R)",BMQR,No,Brooklyn,Kings County,40.690635,-73.981824,No,No,No,No,No,"{'latitude': '40.690635', 'longitude': '-73.981824'}",2090,880,894
Queens Plaza,"Queens Plaza (E,M,R)",EMR,No,Queens,Queens County,40.748973,-73.937243,No,Yes,Yes,Yes,Yes,"{'latitude': '40.748973', 'longitude': '-73.937243'}",2137,873,196
Jay St-Boro Hall / PBX2,"Jay St-Borough Hall (A,C,F)",ACF,No,Brooklyn,Kings County,40.692338,-73.987342,No,No,No,No,No,"{'latitude': '40.692338', 'longitude': '-73.987342'}",2090,880,894
Hunts Point Avenue,Hunts Point Av (6),6,No,Bronx,Bronx County,40.820948,-73.890549,No,Yes,Yes,Yes,Yes,"{'latitude': '40.820948', 'longitude': '-73.890549'}",2032,655,307
Rector St,Rector St (1),1,No,Manhattan,New York County,40.707513,-74.013783,No,No,Yes,No,No,"{'latitude': '40.707513', 'longitude': '-74.013783'}",2095,722,749
Ralph Ave,Ralph Av (C),AC,No,Brooklyn,Kings County,40.678822,-73.920786,No,No,No,No,No,"{'latitude': '40.678822', 'longitude': '-73.920786'}",2090,816,894
110th St,Cathedral Pkwy-110 St (1),1,Yes,Manhattan,New York County,40.803967,-73.966847,No,Yes,Yes,Yes,Yes,"{'latitude': '40.803967', 'longitude': '-73.966847'}",2095,752,749
50th St,50 St (1),1,No,Manhattan,New York County,40.761728,-73.983849,No,Yes,Yes,Yes,Yes,"{'latitude': '40.761728', 'longitude': '-73.983849'}",2095,742,749
191st St,191 St (1),1,No,Manhattan,New York County,40.855225,-73.929412,No,Yes,Yes,Yes,Yes,"{'latitude': '40.855225', 'longitude': '-73.929412'}",2095,799,749
138th St,"138 St-Grand Concourse (4,5)",4,No,Bronx,Bronx County,40.813224,-73.929849,No,Yes,Yes,Yes,Yes,"{'latitude': '40.813224', 'longitude': '-73.929849'}",2095,647,307
President St,"President St (2,5)",25,No,Brooklyn,Kings County,40.667883,-73.950683,No,No,No,No,No,"{'latitude': '40.667883', 'longitude': '-73.950683'}",2090,809,894
Astor Place,Astor Place (6),6,Yes,Manhattan,New York County,40.730054,-73.99107,No,No,Yes,No,No,"{'latitude': '40.730054', 'longitude': '-73.99107'}",2095,719,749
47-50 St Rock Ctr,"47-50 Sts-Rockefeller Center (B,D,F,M)",BDFM,No,Manhattan,New York County,40.758663,-73.981329,No,Yes,Yes,Yes,Yes,"{'latitude': '40.758663', 'longitude': '-73.981329'}",2095,743,749
28th St,28 St (6),6,Yes,Manhattan,New York County,40.74307,-73.984264,No,Yes,Yes,Yes,Yes,"{'latitude': '40.74307', 'longitude': '-73.984264'}",2095,739,749
65th St,"65 St (M,R)",MR,No,Queens,Queens County,40.749669,-73.898453,No,Yes,Yes,Yes,Yes,"{'latitude': '40.749669', 'longitude': '-73.898453'}",2137,846,196
Sutphin Blvd,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",EJZ,No,Queens,Queens County,40.700486,-73.807969,No,Yes,Yes,Yes,Yes,"{'latitude': '40.700486', 'longitude': '-73.807969'}",2137,1262,196
Union Turnpike,"Kew Gardens-Union Turnpike (E,F)",EF,No,Queens,Queens County,40.714441,-73.831008,No,Yes,Yes,Yes,Yes,"{'latitude': '40.714441', 'longitude': '-73.831008'}",2137,845,196
2nd Ave,Lower East Side-2 Av (F),F,No,Manhattan,New York County,40.723402,-73.989938,No,Yes,Yes,Yes,Yes,"{'latitude': '40.723402', 'longitude': '-73.989938'}",2095,719,749
